Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,File_Type,File_Download_URL,created_at,updated_at
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3674.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3678.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3689.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3695.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3681.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3687.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,ARMS_BelgianCoast_AZFPout_20180712_20180818_7B_IMG_3694.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3703.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3669_2.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3675.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3697.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3671.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3680.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3683.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3693.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3670.JPG,Image,Closed Access,2019-11-11,2022-09-14
BelgiumCoast,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPout_20180712_20180818,IMG_3672.JPG,Image,Closed Access,2019-11-11,2022-09-14
