Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,822741632_ARMS_Svalbard_S2_20180708_20190805_4T_8047.jpg,4,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/c91c16c8-86e8-43e2-a53b-16d97359a5f6.jpg,2019-11-11,2021-11-26
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,718171131_ARMS_Svalbard_S2_20180708_20190805_4T_8049.jpg,4,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/9a6ed72d-d14e-42d5-bd2e-be8153013941.jpg,2019-11-11,2021-11-26
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,257988448_ARMS_Svalbard_S2_20180708_20190805_5B_8058.jpg,5,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/ad08e92c-970c-429c-a683-87987e16dfbd.jpg,2019-11-11,2021-11-26
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,715378049_ARMS_Svalbard_S2_20180708_20190805_6B_7988.jpg,6,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/55f7a6e4-7ed5-49bc-aa1d-669adcf2b3b3.jpg,2019-11-11,2021-11-26
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,295635622_ARMS_Svalbard_S2_20180708_20190805_6B_8066.jpg,6,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/73b81a7c-4ad2-4aec-bb14-80758dbeb732.jpg,2019-11-11,2021-11-26
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,831927737_ARMS_Svalbard_S2_20180708_20190805_6T_8076.jpg,6,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/31faff57-1f11-464a-a75b-6f0be0f1592d.jpg,2019-11-11,2021-11-26
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,235016511_ARMS_Svalbard_S2_20180708_20190805_7T_8085.jpg,7,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/515c1f0e-ab10-480a-950e-c94f657700f4.jpg,2019-11-11,2021-11-26
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,724775110_ARMS_Svalbard_S2_20180708_20190805_8B_8094.jpg,8,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/5b3b7353-d0d5-4fde-b9a4-8ce0dc3efecd.jpg,2019-11-11,2021-11-26
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,456334993_ARMS_Svalbard_S2_20180708_20190805_8B_8109.jpg,8,Bottom,Image,https://s3.hpc.ut.ee/plutof-public/original/7d4dd6fe-17be-47b7-92ba-e1f33728b758.jpg,2019-11-11,2021-11-26
Svalbard,Norway,S2,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,332776416_ARMS_Svalbard_S2_20180708_20190805_8T_8100.jpg,8,Top,Image,https://s3.hpc.ut.ee/plutof-public/original/8c1939c8-11ae-4578-997c-ac8173e95767.jpg,2019-11-11,2021-11-26
