ColumnTitle+,Description,Datatype,Property,ObservablePropertyUrl,Unit,UnitUrl,Cell2URL
 ,,,,,,, ,,,,,,,
ARMS-ID (corrected),ARMS unit ID,xsd:string,schema:identifier,,,,
Country ISO3letter code,Country,xsd:string,schema:country,,,,http://publications.europa.eu/resource/authority/country/{}
Depth_max (m),Mas depth of the ARMS unit,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/AHGT/,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,
Depth_min (m),Min depth of the ARMS unit,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/AHGT/,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,
Description,Description,xsd:string,schema:description,,,,
Field replicates,Whether this is a field replicate: y(es)/n(o) ; master name of the replicate set,xsd:string,schema:description,,,,
Habitat keywords (env_local),"Habitat keywords, semi-colon separated",xsd:string,schema:description, ,,,http://purl.obolibrary.org/obo/{}
IUCN habitat type,IUCN habitat keyword,xsd:string,schema:description,,,,
Latitude,Latitude of the ARMS unit,xsd:double,schema:latitude,,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,
Longitude,Longitude of the ARMS unit,xsd:double,schema:longitude,,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,
Marine region,reference to geographic place,xsd:string,schema:description,,,,
Monitoring area,Type of monitoring area,xsd:string,schema:description,,,,
Notes,Notes ,xsd:string,schema:comment,,,,
Observatory-ID (corrected),Observatory ID,xsd:string,schema:identifier,,,,
Sample Region (country),Sampling region name,xsd:string,schema:description,,,,
add. info,additional habitat information,xsd:string,schema:description,,,,
env_broad_scale,ENVO terms broad sea,xsd:string,schema:description,,,,
env_local_scale,ENVO terms local habitat ,xsd:string,schema:description,,,,
env_medium_scale,ENVO terms medium sea,xsd:string,schema:description,,,,
