Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
SWC,Sweden,Gbg4,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,494284995_IMG_3271.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/d7cf04d9-7deb-48b9-8c18-90e4a78f0dde.jpg,2020-02-06,2021-12-10
SWC,Sweden,Gbg4,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,398126044_IMG_3285.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/95a1744f-6009-4d0f-a3a7-9da26a537f86.jpg,2020-02-06,2021-12-10
SWC,Sweden,Gbg4,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,145739569_IMG_3275.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/2a93e9b3-2fd2-4f3b-a3e8-651455f8fde3.jpg,2020-02-06,2021-12-10
SWC,Sweden,Gbg4,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,67759870_IMG_3278.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/0de2de9d-0763-48e7-8125-d3a32d42d7cc.jpg,2020-02-06,2021-12-10
SWC,Sweden,Gbg4,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,28432575_IMG_3286.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/6ad65b1c-5228-4953-a0fb-cbb71341649c.jpg,2020-02-06,2021-12-10
SWC,Sweden,Gbg4,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,Not Provided,Not Provided,Not Provided,Application,https://s3.hpc.ut.ee/plutof-public/original/9e8372dd-c148-458b-869d-8132b70b6a27.xlsx,2020-02-06,2021-12-10
SWC,Sweden,Gbg4,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,143376031_IMG_3280.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/3a0b1ae7-dc69-4563-b407-e5c58d684619.jpg,2020-02-06,2021-12-10
SWC,Sweden,Gbg4,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,303410941_IMG_3284.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/1b710c78-eb45-4fe7-9c02-857206277e45.jpg,2020-02-06,2021-12-10
SWC,Sweden,Gbg4,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,67002025_IMG_3279.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/a4ee5998-0265-4cad-8c1e-c1d04d9dba23.jpg,2020-02-06,2021-12-10
SWC,Sweden,Gbg4,2020-02-06,2020-05-29,ARMS_SWC_Gbg4_20200206_20200529,830109581_IMG_3283.JPG,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/68b5249d-afc2-49fd-a240-b7083b13cd2e.jpg,2020-02-06,2021-12-10
