Station,Country,ARMS_unit,date_start,date_end,Event_id,File_Name,Plate_Number,Position,File_Type,File_Download_URL,created_at,updated_at
AdriaticEastCoast,Italy,Ven3,2022-07-13,2023-07-19,ARMS_AdriaticEastCoast_Ven3_20220713_20230719,6318029,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/441ee26b-1e22-4b3c-a42d-6d07a7189f97.png,2023-07-24,2024-02-12
AdriaticEastCoast,Italy,Ven3,2022-07-13,2023-07-19,ARMS_AdriaticEastCoast_Ven3_20220713_20230719,6322791,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/273f715b-be66-47f8-b7eb-d41f85eec4ec.jpg,2023-07-24,2024-02-12
AdriaticEastCoast,Italy,Ven3,2022-07-13,2023-07-19,ARMS_AdriaticEastCoast_Ven3_20220713_20230719,6322793,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/fdb4a4dc-f0df-4d93-8766-2124f7741369.jpg,2023-07-24,2024-02-12
AdriaticEastCoast,Italy,Ven3,2022-07-13,2023-07-19,ARMS_AdriaticEastCoast_Ven3_20220713_20230719,6322792,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/449656e1-e2cf-4523-bda2-48b6501999db.jpg,2023-07-24,2024-02-12
AdriaticEastCoast,Italy,Ven3,2022-07-13,2023-07-19,ARMS_AdriaticEastCoast_Ven3_20220713_20230719,6322794,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/68a13580-df45-4e1a-a829-748103ddf304.jpg,2023-07-24,2024-02-12
AdriaticEastCoast,Italy,Ven3,2022-07-13,2023-07-19,ARMS_AdriaticEastCoast_Ven3_20220713_20230719,6318031,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/ad37a71a-1f5c-45c7-b8d7-c03559484c78.png,2023-07-24,2024-02-12
AdriaticEastCoast,Italy,Ven3,2022-07-13,2023-07-19,ARMS_AdriaticEastCoast_Ven3_20220713_20230719,6318034,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/6376bf57-e025-448b-9867-a4a1cd2cbe60.png,2023-07-24,2024-02-12
AdriaticEastCoast,Italy,Ven3,2022-07-13,2023-07-19,ARMS_AdriaticEastCoast_Ven3_20220713_20230719,6318020,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/6d2f6b07-c2a0-4d61-8dac-d17777eeae5a.png,2023-07-24,2024-02-12
AdriaticEastCoast,Italy,Ven3,2022-07-13,2023-07-19,ARMS_AdriaticEastCoast_Ven3_20220713_20230719,6318026,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/17d74a92-3e14-4a95-8c92-0fb68b8c65a1.png,2023-07-24,2024-02-12
AdriaticEastCoast,Italy,Ven3,2022-07-13,2023-07-19,ARMS_AdriaticEastCoast_Ven3_20220713_20230719,6318021,Not Provided,Not Provided,Image,https://s3.hpc.ut.ee/plutof-public/original/97372857-3cdf-4bd0-ae9f-418f339c6eba.png,2023-07-24,2024-02-12
