station,arms_unit,qc_param,qc_flag,plutoF_data,gsheets_data
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH1,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH3,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
Koster,VH2,"latitude, longitude, depth",pass,,
Roscoff,BasBloS1,"latitude, longitude, depth",pass,,
Roscoff,BasBloS1,"latitude, longitude, depth",pass,,
Roscoff,BasBloS1,"latitude, longitude, depth",pass,,
Roscoff,MarBloR1,"latitude, longitude, depth",pass,,
Roscoff,MarBloR1,"latitude, longitude, depth",pass,,
Roscoff,MarBloR1,"latitude, longitude, depth",pass,,
Roscoff,MarBloR3,"latitude, longitude, depth",pass,,
Roscoff,MarBloR3,"latitude, longitude, depth",pass,,
Roscoff,MarBloR2,"latitude, longitude, depth",pass,,
Roscoff,MarBloR2,"latitude, longitude, depth",pass,,
Roscoff,BasBloS3,"latitude, longitude, depth",pass,,
Roscoff,BasBloS3,"latitude, longitude, depth",pass,,
Roscoff,BasBloS2,"latitude, longitude, depth",pass,,
Roscoff,BasBloS2,"latitude, longitude, depth",pass,,
Plymouth,MBA1,"latitude, longitude, depth",pass,,
Plymouth,MBA1A,"latitude, longitude, depth",pass,,
Plymouth,MBA1A,"latitude, longitude, depth",pass,,
Plymouth,MBA1B,"latitude, longitude, depth",pass,,
Plymouth,MBA1B,"latitude, longitude, depth",pass,,
Plymouth,MBA1C,"latitude, longitude, depth",pass,,
Plymouth,MBA1C,"latitude, longitude, depth",pass,,
TZS,Spikarna,"latitude, longitude, depth",pass,,
TZS,Spikarna,"latitude, longitude, depth",pass,,
TZS,Spikarna,"latitude, longitude, depth",pass,,
TZS,Angbat,"latitude, longitude, depth",pass,,
TZS,Angbat,"latitude, longitude, depth",pass,,
TZS,Angbat,"latitude, longitude, depth",pass,,
TZS,Angbat,"latitude, longitude, depth",pass,,
TZS,Angbat,"latitude, longitude, depth",pass,,
TZS,Angbat,"latitude, longitude, depth",pass,,
TZS,Angbat,"latitude, longitude, depth",pass,,
TZS,Angbat,"latitude, longitude, depth",pass,,
TZS,Angbat,"latitude, longitude, depth",pass,,
